Vehicle Type,Fuel Type,Engine Size,Age of Vehicle,Temperature,Humidity,Air Pressure,CO2 Emissions,NOx Emissions,PM2.5 Emissions,VOC Emissions,SO2 Emissions,Emission Level,NOx_AQI,SO2_AQI,PM2.5_AQI,AQI_Category,AQI_Category_pm,AQI_Category_SO2
Motorcycle,Electric,2.747608618,22,13.88045841,52.88390515,955.411642,179.930088,1.085519804,0.011547962,0.096206794,0.022935757,Medium,1356.899755,28.66969625,19.24660333,Hazardous,Good,Good
Bus,Electric,5.743714393,3,19.13694657,5.69734269,1035.763062,250.5052193,1.285628406,0.187112096,0.073321308,0.02802138,Medium,1607.035508,35.026725,311.8534933,Hazardous,Hazardous,Good
Bus,Hybrid,4.606368497,17,8.123428468,3.953116011,976.2070644,404.9791033,0.258188567,0.132398149,0.014743543,0.075333622,High,322.7357088,94.1670275,220.6635817,Hazardous,Very Unhealthy,Moderate
Truck,Electric,3.913024118,4,35.99489346,0.509678081,966.9194623,463.568608,1.040955765,0.166325226,0.093490327,0.025323934,High,1301.194706,31.6549175,277.20871,Hazardous,Very Unhealthy,Good
Truck,Hybrid,1.61129693,15,14.79348065,52.45088434,953.2293507,79.51460364,1.583390451,0.078043079,0.020395503,0.024986365,Low,1979.238064,31.23295625,130.0717983,Hazardous,Unhealthy for Sensitive Groups,Good
Car,Petrol,1.611171506,13,11.18625201,46.3815604,1033.40731,287.8334381,1.733975124,0.05636087,0.09316533,0.069062427,Medium,2167.468905,86.32803375,93.93478333,Hazardous,Moderate,Moderate
Car,Petrol,1.102034783,26,-7.591601582,94.04601936,956.0115291,337.869581,1.470222358,0.042899138,0.050660286,0.058193413,High,1837.777948,72.74176625,71.49856333,Hazardous,Moderate,Moderate
Car,Hybrid,5.304115958,26,19.95075411,34.23063159,1045.443042,57.86424252,0.895289216,0.110928836,0.053710919,0.078112185,Low,1119.11152,97.64023125,184.8813933,Hazardous,Unhealthy,Moderate
Car,Electric,3.925798061,18,20.1434468,65.82273955,1006.484202,131.5617088,0.589204877,0.060648453,0.058605228,0.038696963,Low,736.5060963,48.37120375,101.080755,Hazardous,Unhealthy for Sensitive Groups,Good
Bus,Electric,4.481977405,13,19.1644815,0.756341464,1019.868318,78.1527115,0.839387631,0.177221498,0.018436776,0.064760973,Low,1049.234539,80.95121625,295.3691633,Hazardous,Very Unhealthy,Moderate
Motorcycle,Electric,0.90703937,8,34.37984588,66.35384458,1022.531042,180.6661535,1.167038555,0.015688351,0.069837479,0.090702316,Medium,1458.798194,113.377895,26.14725167,Hazardous,Good,Unhealthy for Sensitive Groups
Truck,Petrol,5.843531231,5,28.14504163,91.3460024,979.2684489,142.4322336,0.111021182,0.026065391,0.068874612,0.091311551,Low,138.7764775,114.1394388,43.44231833,Unhealthy for Sensitive Groups,Good,Unhealthy for Sensitive Groups
Truck,Petrol,5.128701732,16,33.37028098,35.47679567,1030.645835,269.0601363,1.832814134,0.051004029,0.061998482,0.068781504,Medium,2291.017668,85.97688,85.006715,Hazardous,Moderate,Moderate
Motorcycle,Hybrid,1.904163376,18,-7.028872155,31.40571018,1044.624068,344.9036713,0.753064016,0.025644668,0.089900471,0.012099825,High,941.33002,15.12478125,42.74111333,Hazardous,Good,Good
Truck,Diesel,1.745489829,11,5.906321613,62.60298649,986.985111,428.9978962,1.613933526,0.167321674,0.053058879,0.05756005,High,2017.416908,71.9500625,278.8694567,Hazardous,Very Unhealthy,Moderate
Truck,Petrol,1.753703451,3,5.935597185,32.85520655,1033.534939,186.9390717,1.115503369,0.010768342,0.073948514,0.016129233,Medium,1394.379211,20.16154125,17.94723667,Hazardous,Good,Good
Motorcycle,Petrol,2.382059663,15,22.85225289,40.24183755,1027.203982,72.6828915,1.358158679,0.133814536,0.040535638,0.099078495,Low,1697.698349,123.8481188,223.0242267,Hazardous,Very Unhealthy,Unhealthy for Sensitive Groups
Car,Electric,3.528733444,24,12.43075244,27.31165409,1008.959587,51.73167604,1.543045547,0.096541745,0.093217115,0.099732445,Low,1928.806934,124.6655563,160.9029083,Hazardous,Unhealthy,Unhealthy for Sensitive Groups
Car,Hybrid,3.046114097,10,28.87363016,34.48892063,986.7615978,430.0482535,0.64702881,0.15682048,0.093890079,0.020439633,High,808.7860125,25.54954125,261.3674667,Hazardous,Very Unhealthy,Good
Truck,Petrol,2.314391529,21,9.221528333,67.94106124,991.5185294,445.1609816,1.251557849,0.08797654,0.05338845,0.051054686,High,1564.447311,63.8183575,146.6275667,Hazardous,Unhealthy for Sensitive Groups,Moderate
Motorcycle,Petrol,3.981635053,3,1.080378866,92.23751864,980.7608519,95.44669711,1.528126353,0.132559883,0.076235937,0.087505265,Low,1910.157941,109.3815813,220.9331383,Hazardous,Very Unhealthy,Unhealthy for Sensitive Groups
Motorcycle,Diesel,1.525368075,16,4.547553415,58.31154757,992.6270481,54.57916373,1.56476022,0.131458219,0.03098996,0.020446825,Low,1955.950275,25.55853125,219.0970317,Hazardous,Very Unhealthy,Good
Motorcycle,Petrol,2.319152172,7,-0.876513692,1.003344893,1048.962692,410.1194712,0.890406196,0.079129738,0.067915427,0.059704652,High,1113.007745,74.630815,131.8828967,Hazardous,Unhealthy for Sensitive Groups,Moderate
Truck,Petrol,2.705081585,13,-0.105365412,26.38925618,986.341477,338.327624,1.484178743,0.031696532,0.017655971,0.027970984,High,1855.223429,34.96373,52.82755333,Hazardous,Moderate,Good
Bus,Electric,3.171563918,26,0.841945772,95.22385287,1016.550975,300.2650184,0.673610374,0.092274316,0.087632576,0.053710646,High,842.0129675,67.1383075,153.7905267,Hazardous,Unhealthy,Moderate
Car,Electric,4.882914999,1,-9.195264425,91.03217638,981.9606433,289.9413387,0.33610564,0.176261915,0.074941851,0.028207215,Medium,420.13205,35.25901875,293.7698583,Hazardous,Very Unhealthy,Good
Motorcycle,Diesel,1.838303667,10,25.80440174,11.56472396,996.6647736,398.1919855,0.314549485,0.161312733,0.095941329,0.057726739,High,393.1868563,72.15842375,268.854555,Hazardous,Very Unhealthy,Moderate
Bus,Electric,3.47401908,10,9.980117114,90.84170631,958.3773998,181.9914774,1.060834139,0.080572782,0.080039742,0.047041559,Medium,1326.042674,58.80194875,134.28797,Hazardous,Unhealthy for Sensitive Groups,Moderate
Truck,Petrol,3.880555758,23,-8.866433406,96.4529023,1026.323424,225.1015925,0.82819423,0.174779034,0.026471278,0.045447756,Medium,1035.242788,56.809695,291.29839,Hazardous,Very Unhealthy,Moderate
Truck,Petrol,1.041542146,21,8.500377223,32.45718958,1016.102445,85.03300715,0.541652404,0.093359066,0.052073354,0.024432268,Low,677.065505,30.540335,155.5984433,Hazardous,Unhealthy,Good
Motorcycle,Diesel,3.95923323,23,35.26840636,70.10068094,984.7485008,304.7583601,0.843239192,0.047286397,0.058817694,0.069381912,High,1054.04899,86.72739,78.81066167,Hazardous,Moderate,Moderate
Car,Diesel,1.686725443,5,15.56221585,55.99824155,1002.484468,482.3651846,0.882502318,0.17416001,0.084562111,0.016322568,High,1103.127898,20.40321,290.2666833,Hazardous,Very Unhealthy,Good
Motorcycle,Hybrid,1.138268284,20,39.33760057,33.70496586,1037.222184,177.7325962,1.151788999,0.103791391,0.059535675,0.094047635,Medium,1439.736249,117.5595438,172.9856517,Hazardous,Unhealthy,Unhealthy for Sensitive Groups
Bus,Electric,5.734204794,20,16.99797159,15.33357809,954.4432716,468.1623814,0.210050574,0.092428121,0.052902459,0.015312667,High,262.5632175,19.14083375,154.0468683,Very Unhealthy,Unhealthy,Good
Bus,Petrol,5.821286572,13,38.13994995,36.69202241,1043.02165,378.1433301,1.825239923,0.054633941,0.074170004,0.047036909,High,2281.549904,58.79613625,91.05656833,Hazardous,Moderate,Moderate
Truck,Electric,5.00366621,29,0.09003644,92.77965714,997.0799602,155.2457853,0.807182213,0.155275226,0.067795319,0.035810062,Medium,1008.977766,44.7625775,258.7920433,Hazardous,Very Unhealthy,Good
Car,Hybrid,2.3839916,9,4.496740636,81.12483756,1035.965541,348.2844603,1.269220387,0.114542402,0.077390041,0.059652893,High,1586.525484,74.56611625,190.9040033,Hazardous,Unhealthy,Moderate
Motorcycle,Electric,1.307894993,25,24.99850551,33.06745306,1036.148292,214.8052915,0.682160789,0.049393811,0.052761392,0.012241353,Medium,852.7009863,15.30169125,82.32301833,Hazardous,Moderate,Good
Motorcycle,Hybrid,4.358011738,26,39.34108085,54.7675352,955.8712277,105.0359094,1.547184248,0.059269694,0.075115346,0.049510275,Low,1933.98031,61.88784375,98.78282333,Hazardous,Moderate,Moderate
Bus,Diesel,3.088792967,7,31.26487055,40.59616787,1028.159457,91.7247685,0.971523734,0.082668212,0.097399509,0.07783357,Low,1214.404668,97.2919625,137.7803533,Hazardous,Unhealthy for Sensitive Groups,Moderate
Bus,Petrol,1.434598821,6,17.68526383,46.6237848,1023.286739,57.75237879,0.711410763,0.111521694,0.026345064,0.082648326,Low,889.2634538,103.3104075,185.86949,Hazardous,Unhealthy,Unhealthy for Sensitive Groups
