Vehicle Type,Fuel Type,Engine Size,Age of Vehicle,Temperature,Humidity,Air Pressure,CO2 Emissions,NOx Emissions,NOx_AQI,AQI_Category
Motorcycle,Electric,2.747608618,22,13.88045841,52.88390515,955.411642,179.930088,1.085519804,102.428753,Unhealthy for Sensitive Groups
Bus,Electric,5.743714393,3,19.13694657,5.69734269,1035.763062,250.5052193,1.285628406,106.2145915,Unhealthy for Sensitive Groups
Bus,Hybrid,4.606368497,17,8.123428468,3.953116011,976.2070644,404.9791033,0.258188567,24.35741198,Good
Truck,Electric,3.913024118,4,35.99489346,0.509678081,966.9194623,463.568608,1.040955765,101.5856496,Unhealthy for Sensitive Groups
Truck,Hybrid,1.61129693,15,14.79348065,52.45088434,953.2293507,79.51460364,1.583390451,111.8479275,Unhealthy for Sensitive Groups
Car,Petrol,1.611171506,13,11.18625201,46.3815604,1033.40731,287.8334381,1.733975124,114.6968267,Unhealthy for Sensitive Groups
Car,Petrol,1.102034783,26,-7.591601582,94.04601936,956.0115291,337.869581,1.470222358,109.7069095,Unhealthy for Sensitive Groups
Car,Hybrid,5.304115958,26,19.95075411,34.23063159,1045.443042,57.86424252,0.895289216,88.84602518,Moderate
Car,Electric,3.925798061,18,20.1434468,65.82273955,1006.484202,131.5617088,0.589204877,56.24138907,Moderate
Bus,Electric,4.481977405,13,19.1644815,0.756341464,1019.868318,78.1527115,0.839387631,82.89129113,Moderate
Motorcycle,Electric,0.90703937,8,34.37984588,66.35384458,1022.531042,180.6661535,1.167038555,103.9709997,Unhealthy for Sensitive Groups
Truck,Petrol,5.843531231,5,28.14504163,91.3460024,979.2684489,142.4322336,0.111021182,10.47369642,Good
Truck,Petrol,5.128701732,16,33.37028098,35.47679567,1030.645835,269.0601363,1.832814134,116.5667539,Unhealthy for Sensitive Groups
Motorcycle,Hybrid,1.904163376,18,-7.028872155,31.40571018,1044.624068,344.9036713,0.753064016,73.69594953,Moderate
Truck,Diesel,1.745489829,11,5.906321613,62.60298649,986.985111,428.9978962,1.613933526,112.4257694,Unhealthy for Sensitive Groups
Truck,Petrol,1.753703451,3,5.935597185,32.85520655,1033.534939,186.9390717,1.115503369,102.9960097,Unhealthy for Sensitive Groups
Motorcycle,Petrol,2.382059663,15,22.85225289,40.24183755,1027.203982,72.6828915,1.358158679,107.5867858,Unhealthy for Sensitive Groups
Car,Electric,3.528733444,24,12.43075244,27.31165409,1008.959587,51.73167604,1.543045547,111.0846455,Unhealthy for Sensitive Groups
Car,Hybrid,3.046114097,10,28.87363016,34.48892063,986.7615978,430.0482535,0.64702881,62.40089498,Moderate
Truck,Petrol,2.314391529,21,9.221528333,67.94106124,991.5185294,445.1609816,1.251557849,105.5700134,Unhealthy for Sensitive Groups
Motorcycle,Petrol,3.981635053,3,1.080378866,92.23751864,980.7608519,95.44669711,1.528126353,110.8023905,Unhealthy for Sensitive Groups
Motorcycle,Diesel,1.525368075,16,4.547553415,58.31154757,992.6270481,54.57916373,1.56476022,111.4954636,Unhealthy for Sensitive Groups
